loser_id,loser_name,nemesis_id,nemesis_name,n_match_lost
8263,Arisa Abe,7534,Honoka Kobayashi,1
8264,Shiho Shibata,2027,Jodie Anna Burrage,1
8265,Sayaka Suzuki,1266,Quinn Gleason,1
8266,Kiko Nishizato,2718,Chisa Hosonuma,1
8266,Kiko Nishizato,968,Jing Jing Lu,1
8267,Sae Haraguchi,2397,Karola Patricia Bejenaru,1
8267,Sae Haraguchi,1177,Ya Hsuan Lee,1
8267,Sae Haraguchi,655,Tessah Andrianjafitrimo,1
8268,Saki Imamura,9668,Ralitsa Alexandrova,1
8268,Saki Imamura,7407,Jade Bornay,1
8268,Saki Imamura,1346,Yuuki Tanaka,1
8268,Saki Imamura,6840,Justina Mikulskyte,1
8268,Saki Imamura,1345,Chihiro Muramatsu,1
8268,Saki Imamura,1858,Elizabeth Mandlik,1
8268,Saki Imamura,1254,Jazmin Ortenzi,1
8268,Saki Imamura,2753,Yekaterina Dmitrichenko,1
8268,Saki Imamura,7237,Boyoung Jeong,1
8268,Saki Imamura,2383,Olga Helmi,1
8268,Saki Imamura,2154,Arina Gabriela Vasilescu,1
8268,Saki Imamura,8240,Anja Wildgruber,1
8268,Saki Imamura,1653,Oana Gavrila,1
8268,Saki Imamura,9268,Ines Faltinger,1
8268,Saki Imamura,7659,Ioana Zvonaru,1
8268,Saki Imamura,2068,Tiphanie Fiquet,1
8268,Saki Imamura,3688,Ani Amiraghyan,1
8268,Saki Imamura,1997,Valeria Bhunu,1
8268,Saki Imamura,2266,Ayla Aksu,1
8269,Erika Matsuda,809,Yue Yuan,1
8269,Erika Matsuda,2717,Kanako Morisaki,1
8269,Erika Matsuda,2183,Yukina Saigo,1
8269,Erika Matsuda,1673,Michika Ozeki,1
8270,Momoko Nagato,2706,Ari Matsumoto,1
8270,Momoko Nagato,1738,Ayaka Okuno,1
8271,Shiho Tsukuda,2692,So Ra Lee,1
8272,Kotoe Kamata,2706,Ari Matsumoto,1
8273,Ayano Toyoshi,963,Junri Namigata,1
8274,Momo Saitou,2696,Haruna Arakawa,1
8274,Momo Saitou,2689,Risa Ushijima,1
8275,Yuka Matsumoto,1766,Shiho Akita,1
8275,Yuka Matsumoto,2736,Mayuka Aikawa,1
8276,Meina Aratake,1673,Michika Ozeki,1
8277,Chiharu Kobayashi,1333,Ramu Ueda,1
8278,Mua Shigeta,7208,Rina Saigo,1
8278,Mua Shigeta,7140,Fitriani Sabatini,1
8278,Mua Shigeta,1328,Alicia Smith,1
8278,Mua Shigeta,2735,Yui Chikaraishi,1
8278,Mua Shigeta,8304,Nao Shimoji,1
8278,Mua Shigeta,1188,Erika Sema,1
8278,Mua Shigeta,2727,Mana Kawamura,1
8278,Mua Shigeta,7434,Utaka Kishigami,1
8278,Mua Shigeta,1738,Ayaka Okuno,1
8279,Shiori Ito,2729,Sakura Hondo,1
8279,Shiori Ito,2744,Sakura Hosogi,1
8279,Shiori Ito,2728,Himari Sato,1
8280,Satona Yada,231,Eri Hozumi,1
8280,Satona Yada,6868,Hiromi Abe,1
8280,Satona Yada,2729,Sakura Hondo,1
8280,Satona Yada,2717,Kanako Morisaki,1
8280,Satona Yada,2715,Yuka Hosoki,1
8281,Jiho Shin,9427,Astrid Cirotte,2
8282,Mizuki Inose,7208,Rina Saigo,1
8283,Sena Takebe,1673,Michika Ozeki,1
8284,Mako Ganaha,1203,Kotomi Takahata,1
8285,Mao Iseki,2128,Yu Ting Hsieh,1
8286,Nanami Saito,2743,Michiru Furuya,1
8287,Kaho Hagiwara,8286,Nanami Saito,1
8288,Aoi Kanai,2738,Robu Kajitani,1
8289,Anshu Okamura,7434,Utaka Kishigami,1
8290,Yuna Ohashi,2717,Kanako Morisaki,1
8290,Yuna Ohashi,2174,Haine Ogata,1
8290,Yuna Ohashi,1752,Yixuan Li,1
8291,Riko Ebina,7216,Ikumi Yamazaki,1
8292,Michiyo Nakamura,2715,Yuka Hosoki,1
8293,Nalu Himeno,7435,Mingyang Liu,1
8293,Nalu Himeno,1793,Jiangxue Han,1
8293,Nalu Himeno,3289,Nikita Uberoi,1
8293,Nalu Himeno,2732,Funa Kozaki,1
8293,Nalu Himeno,2728,Himari Sato,1
8293,Nalu Himeno,2735,Yui Chikaraishi,1
8294,Nana Owada,1738,Ayaka Okuno,1
8295,Yuri Serizawa,2734,Minami Shuto,1
8296,Haruka Tominaga,2736,Mayuka Aikawa,1
8297,Mei Koike,1203,Kotomi Takahata,1
8298,Natsumi Nakadate,2727,Mana Kawamura,1
